x:0.504485, y:0.517982, z:-0.690789, w:0.000000
x:0.539115, y:0.502524, z:-0.675888, w:0.000000
x:0.572779, y:0.486854, z:-0.659467, w:0.000000
x:0.605459, y:0.470957, z:-0.641575, w:0.000000
x:0.637130, y:0.454832, z:-0.622248, w:0.000000
x:0.667772, y:0.438456, z:-0.601529, w:0.000000
x:0.697358, y:0.421820, z:-0.579447, w:0.000000
x:0.725863, y:0.404911, z:-0.556031, w:0.000000
x:0.753256, y:0.387705, z:-0.531310, w:0.000000
x:0.779506, y:0.370184, z:-0.505307, w:0.000000
x:0.804578, y:0.352331, z:-0.478034, w:0.000000
x:0.828434, y:0.334112, z:-0.449518, w:0.000000
x:0.851032, y:0.315506, z:-0.419761, w:0.000000
x:0.872325, y:0.296479, z:-0.388780, w:0.000000
x:0.892260, y:0.276997, z:-0.356574, w:0.000000
x:0.910779, y:0.257018, z:-0.323147, w:0.000000
x:0.927814, y:0.236496, z:-0.288497, w:0.000000
x:0.943292, y:0.215375, z:-0.252615, w:0.000000
x:0.957124, y:0.193594, z:-0.215488, w:0.000000
x:0.969211, y:0.171078, z:-0.177094, w:0.000000
x:0.979436, y:0.147740, z:-0.137400, w:0.000000
x:0.987657, y:0.123469, z:-0.096377, w:0.000000
x:0.993709, y:0.098137, z:-0.053958, w:0.000000
x:0.997384, y:0.071574, z:-0.010081, w:0.000000
x:0.998424, y:0.043569, z:0.035362, w:0.000000
x:0.996495, y:0.013839, z:0.082506, w:0.000000
x:0.991146, y:-0.018007, z:0.131546, w:0.000000
x:0.981748, y:-0.052534, z:0.182786, w:0.000000
x:0.967346, y:-0.090621, z:0.236705, w:0.000000
x:0.946352, y:-0.133781, z:0.294145, w:0.000000
x:0.915616, y:-0.185116, z:0.356903, w:0.000000
x:0.866239, y:-0.253734, z:0.430405, w:0.000000
x:-0.637374, y:0.766553, z:-0.078428, w:0.000000
x:-0.597065, y:0.769783, z:-0.225714, w:0.000000
x:-0.551204, y:0.766661, z:-0.329248, w:0.000000
x:-0.503178, y:0.760622, z:-0.410203, w:0.000000
x:-0.454187, y:0.752848, z:-0.476376, w:0.000000
x:-0.404832, y:0.743925, z:-0.531683, w:0.000000
x:-0.355448, y:0.734163, z:-0.578500, w:0.000000
x:-0.306262, y:0.723777, z:-0.618345, w:0.000000
x:-0.257412, y:0.712886, z:-0.652329, w:0.000000
x:-0.209009, y:0.701591, z:-0.681238, w:0.000000
x:-0.161134, y:0.689960, z:-0.705685, w:0.000000
x:-0.113840, y:0.678034, z:-0.726162, w:0.000000
x:-0.067182, y:0.665858, z:-0.743048, w:0.000000
x:-0.021192, y:0.653449, z:-0.756674, w:0.000000
x:0.024096, y:0.640833, z:-0.767302, w:0.000000
x:0.068654, y:0.628026, z:-0.775158, w:0.000000
x:0.112459, y:0.615039, z:-0.780436, w:0.000000
x:0.155491, y:0.601877, z:-0.783305, w:0.000000
x:0.197731, y:0.588548, z:-0.783909, w:0.000000
x:0.239162, y:0.575054, z:-0.782377, w:0.000000
x:0.279765, y:0.561403, z:-0.778819, w:0.000000
x:0.319527, y:0.547585, z:-0.773339, w:0.000000
x:0.358430, y:0.533606, z:-0.766024, w:0.000000
x:0.396460, y:0.519461, z:-0.756954, w:0.000000
x:0.433601, y:0.505145, z:-0.746203, w:0.000000
x:0.469835, y:0.490659, z:-0.733832, w:0.000000
x:0.505148, y:0.475988, z:-0.719903, w:0.000000
x:0.539522, y:0.461130, z:-0.704468, w:0.000000
x:0.572938, y:0.446072, z:-0.687576, w:0.000000
x:0.605377, y:0.430814, z:-0.669267, w:0.000000
x:0.636818, y:0.415336, z:-0.649583, w:0.000000
